1393	1393
1395	KING155
1398	KING74
1400	1400
1401	1401
1402	1402
1403	1403
1404	1404
1406	KING156
1407	KING156
1412	1412
1414	1414
1418	1418
1419	1419
1420	KING157
1421	KING158
1422	1422
1423	1423
1424	1424
1430	1430
1435	1435
1440	1440
1441	1441
1442	KING159
1445	KING31
1448	1448
1450	1450
1451	KING97
1452	1452
1455	KING113
1459	1459
1460	1460
1461	1461
1463	1463
1464	KING160
1465	KING90
1471	KING158
1475	1475
1477	1477
1479	1479
1480	1480
1485	1485
1488	1488
1490	1490
1491	1491
1493	KING161
1494	1494
1495	1495
1498	1498
1506	1506
1509	KING162
1513	KING94
1515	1515
1516	KING115
1521	1521
1522	1522
1523	KING163
1524	KING120
1526	KING164
1527	1527
1528	KING162
1531	1531
1532	1532
1533	1533
1542	1542
1544	1544
1545	1545
1546	1546
1547	KING101
1548	1548
1551	1551
1555	KING92
1556	KING165
1557	1557
1561	KING96
1563	1563
1565	KING105
1567	KING166
1568	1568
1569	KING167
1570	1570
1572	1572
1573	1573
1575	KING102
1576	1576
1580	1580
1586	1586
1590	KING168
1591	KING169
1593	1593
1594	1594
1596	1596
1601	1601
1604	1604
1606	1606
1607	KING41
1608	1608
1617	1617
1618	1618
1626	1626
1627	1627
1630	1630
1633	1633
1635	1635
1637	1637
1638	1638
1641	KING170
1643	1643
1645	KING95
1646	1646
1649	1649
1650	KING109
1651	KING171
1652	KING121
1653	1653
1655	KING172
1660	1660
1661	KING173
1662	1662
1663	1663
1665	1665
1666	1666
1667	1667
1671	1671
1673	KING133
1675	1675
1677	1677
1679	1679
1680	1680
1684	KING174
1685	KING118
1686	KING175
1688	1688
1689	1689
1691	KING176
1692	KING177
1694	1694
1699	KING48
1702	1702
1704	1704
1708	KING178
1709	KING179
1710	KING48
1711	KING89
1715	KING180
1720	1720
1721	KING181
1722	1722
1724	1724
1725	1725
1728	1728
1729	1729
1730	KING182
1733	KING183
1735	KING184
1736	1736
1737	1737
1738	1738
1739	KING93
1741	KING185
1743	1743
1745	1745
1747	KING179
1748	KING186
1752	1752
1753	1753
1754	KING187
1757	1757
1758	1758
1759	1759
1761	KING152
1762	1762
1764	1764
1768	KING10
1770	1770
1772	KING188
1774	1774
1775	KING28
1776	1776
1778	KING108
1785	KING189
1788	1788
1789	KING190
1790	1790
1791	1791
1795	KING82
1796	KING191
1798	1798
1799	KING192
1801	1801
1803	1803
1805	KING82
1807	KING193
1808	1808
1810	1810
1814	1814
1816	1816
1817	KING194
1818	KING195
1820	1820
1821	1821
1822	1822
1826	1826
1829	KING196
1832	KING197
1833	1833
1834	1834
1835	1835
1836	1836
1838	1838
1839	1839
1840	KING198
1842	KING199
1843	KING43
1845	KING200
1846	1846
1850	1850
1851	1851
1852	1852
1856	1856
1858	1858
1862	1862
1866	1866
1868	1868
1869	KING201
1875	1875
1880	KING159
1882	KING202
1884	1884
1885	KING203
1888	KING128
1889	1889
1890	1890
1891	KING114
1894	KING204
1895	1895
1897	KING205
1899	1899
1900	1900
1901	1901
1902	1902
1903	1903
1906	1906
1907	KING206
1908	1908
1910	1910
1911	KING207
1912	1912
1913	KING208
1915	KING209
1916	1916
1919	1919
1920	1920
1921	1921
1922	1922
1925	KING75
1929	1929
1930	1930
1931	KING166
1932	1932
1934	1934
1935	KING210
1936	1936
1939	1939
1940	1940
1941	1941
1946	1946
1948	1948
1952	KING211
1954	1954
1955	KING88
1956	1956
1958	KING116
1965	1965
1966	KING212
1968	1968
1969	KING213
1971	KING212
1974	1974
1976	1976
1979	1979
1980	1980
1984	1984
1985	KING214
1988	1988
1990	KING215
1993	1993
1994	1994
1995	KING132
2000	KING216
2002	2002
2003	2003
2004	2004
2006	2006
2007	2007
2009	2009
2014	KING217
2016	2016
2019	2019
2020	2020
2021	2021
2022	2022
2024	2024
2025	2025
2026	2026
2027	KING116
2029	KING218
2033	2033
2034	2034
2035	2035
2036	KING126
2040	2040
2042	2042
2043	2043
2046	KING219
2047	2047
2050	KING84
2051	KING220
2052	2052
2058	2058
2059	2059
2060	KING221
2061	2061
2066	2066
2068	KING100
2069	2069
2071	2071
2073	KING222
2074	KING223
2076	2076
2077	2077
2084	2084
2085	2085
2089	2089
2090	2090
2091	KING125
2092	2092
2093	2093
2096	KING224
2098	2098
2099	2099
2100	2100
2103	KING225
2105	KING226
2106	KING227
2107	2107
2108	2108
2109	2109
2110	KING228
2111	2111
