25042	2
25042	3
25246	36
25246	37
27126	2
27126	3
27234	14
27234	15
27782	18
27782	19
28502	12
28502	13
29373	10
29373	11
33168	3
33168	4
33168	9
33168	10
20058	3
20058	5
22887	3
22887	4
21665	6
21665	7
5319	15
5319	15
28261	27
28261	28
94445	6
94445	7
33401	2
33401	3
1748	2
1748	3
4145	23
4145	24
11965	14
11965	15
11965	16
11965	17
14119	7
14119	8
21190	8
21190	9
21511	2
21511	3
21511	8
21511	9
24370	8
24370	9
25246	24
25246	25
26796	2
26796	3
27130	4
27130	5
27484	8
27484	9
27782	42
27782	43
28261	21
28261	22
28503	2
28503	3
29296	2
29296	3
36921	6
36921	7
37665	18
37665	19
52311	3
52311	3
6657	2
6657	3
24370	6
24370	7
25246	10
25246	11
27782	28
27782	29
29366	8
29366	9
20849	2
20849	11
20849	13
148	22
148	23
243	14
243	15
243	26
243	27
243	33
243	34
792	7
792	8
792	12
1390	10
1390	12
1643	26
1643	27
2107	8
2107	9
3448	7
3448	9
4370	6
4370	7
6803	4
6803	4
8322	14
8322	15
11965	9
11965	10
17517	4
17517	5
18623	11
18623	12
18865	2
18865	3
18865	6
18865	7
21511	10
21511	11
24020	4
24020	5
24020	8
24020	9
24020	10
24020	11
24020	12
24020	13
24020	14
24020	15
24020	16
24020	17
24588	20
24588	21
24588	28
24588	29
24995	2
24995	3
25246	6
25246	7
25246	12
25246	13
25246	14
25246	15
25246	16
25246	17
26521	12
26521	13
26796	6
26796	7
27130	2
27130	3
27333	2
27333	3
27333	24
27333	25
28338	2
28338	3
28603	6
28603	7
28603	13
28603	15
28604	2
28604	3
29296	4
29296	5
29363	6
29363	7
30509	28
30509	29
30796	4
30796	5
30796	12
30796	13
33168	15
33168	16
2152	2
2152	3
2152	4
2152	5
16686	9
16686	10
17140	6
17140	7
19520	18
19520	19
25744	6
25744	7
33401	4
33401	5
37665	16
37665	17
39754	6
39754	7
243	10
243	19
5231	8
5231	8
26521	2
26521	3
28603	12
28603	14
1490	1
1490	10
3363	12
3363	14
11498	3
11498	5
20849	6
20849	12
20849	14
26253	3
26253	4
387	1
387	3
436	10
436	12
444	11
444	13
743	4
743	5
957	3
957	5
974	2
974	3
1097	6
1097	7
1267	16
1267	17
1269	8
1269	9
1546	12
1546	14
1572	10
1572	11
1630	4
1630	5
1643	4
1643	5
1643	6
1643	7
1929	10
1929	13
1934	3
1934	4
2107	10
2107	11
2876	12
2876	14
3586	14
3586	16
3586	18
3586	19
3764	8
3764	9
5231	4
5231	4
5319	3
5319	3
5319	5
5319	5
6472	2
6472	4
7297	15
7297	17
8623	10
8623	11
8802	6
8802	7
8914	4
8914	5
9022	20
9022	21
10049	2
10049	3
10296	4
10296	5
11622	4
11622	7
12424	7
12424	8
12424	9
13021	8
13021	11
13300	2
13300	3
13781	8
13781	9
14119	13
14119	15
15103	6
15103	7
17517	8
17517	9
21408	6
21408	7
21423	7
21423	8
21511	6
21511	7
21511	14
21511	15
21538	5
21538	6
22064	2
22064	3
22064	13
22064	14
22064	20
22064	21
23299	4
23299	5
24020	6
24020	7
24020	20
24020	21
24297	10
24297	11
24297	12
24297	13
24297	22
24297	23
24313	12
24313	13
24370	12
24370	13
24370	14
24370	15
24588	10
24588	11
24588	12
24588	13
24995	6
24995	7
24995	16
24995	17
25123	2
25123	3
25246	34
25246	35
25416	2
25416	3
25529	2
25529	3
26053	10
26053	11
26322	8
26322	9
27126	6
27126	7
27130	6
27130	7
27234	22
27234	23
27329	5
27329	6
27329	7
27329	9
27329	13
27329	15
27329	19
27329	20
27484	4
27484	5
27484	6
27484	7
27485	14
27485	15
27782	32
27782	33
27782	34
27782	35
27782	40
27782	41
27784	6
27784	7
27784	16
27784	17
28050	14
28050	15
28050	20
28050	21
28050	28
28050	29
28169	2
28169	4
28169	8
28169	10
28169	14
28169	15
28261	8
28261	9
28261	17
28261	18
28261	33
28261	34
28502	8
28502	9
28502	10
28502	11
28603	4
28603	5
28603	8
28603	9
28603	16
28603	17
28604	6
28604	7
28604	8
28604	9
28604	10
28604	11
29155	6
29155	7
29155	16
29155	18
29155	19
29155	21
29296	8
29296	9
29363	8
29363	9
29366	2
29366	3
29366	16
29366	17
29373	8
29373	9
30509	18
30509	19
703	4
703	5
1915	6
1915	7
2957	4
2957	5
3082	3
3082	4
3413	3
3413	4
4184	18
4184	20
5265	8
5265	9
5881	1
5881	2
9406	8
9406	9
9406	10
9406	11
9657	8
9657	9
10421	6
10421	7
11498	6
11498	9
11627	7
11627	8
13491	4
13491	5
15315	8
15315	9
16660	2
16660	3
16686	11
16686	12
19520	22
19520	24
20742	3
20742	5
21197	2
21197	3
23622	4
23622	5
23675	3
23675	4
23719	3
23719	4
25445	3
25445	4
25531	2
25531	3
25605	4
25605	5
25744	8
25744	9
25744	20
25744	21
25756	3
25756	5
27189	4
27189	5
27896	2
27896	3
28506	2
28506	3
28506	4
28506	5
28732	8
28732	12
29345	4
29345	5
29485	4
29485	5
29485	8
29485	9
30254	14
30254	15
33401	10
33401	11
33438	6
33438	7
33438	18
33438	19
34297	11
34297	12
36921	2
36921	3
37073	3
37073	4
37665	2
37665	3
37665	10
37665	11
49487	4
49487	5
52312	2
52312	2
66031	2
66031	3
68164	3
68164	4
75619	1
75619	2
76840	4
76840	5
77158	2
77158	3
77787	1
77787	2
78155	2
78155	3
81080	1
81080	2
84488	8
84488	9
84488	10
84488	11
85434	4
85434	5
86053	3
86053	4
89379	1
89379	2
93373	1
93373	2
93674	4
93674	5
104392	1
104392	2
105380	5
105380	6
106770	7
106770	8
118920	2
118920	3
307	1
307	4
614	3
614	4
1018	3
1018	5
1072	1
1072	6
1107	3
1107	9
1202	1
1202	2
1738	1
1738	5
2412	3
2412	4
6803	2
6803	2
8954	21
8954	29
13883	1
13883	4
21408	10
21408	11
21476	10
21476	11
23580	13
23580	14
24313	2
24313	3
26520	11
26520	12
26796	4
26796	5
26982	4
26982	5
28169	28
28169	29
28261	2
28261	3
28261	19
28261	20
29296	6
29296	7
30796	6
30796	7
729	14
729	16
3363	8
3363	10
20724	2
20724	3
52363	2
52363	8
89527	4
89527	6
120984	3
120984	4
148	17
148	31
1241	4
1241	14
25744	18
25744	19
328	6
328	8
