DUC,case
NonDUC,68250
NonDUC,68250
NonDUC,68250
NonDUC,68250
DUC-1,68250
NonDUC,68250
NonDUC,68250
NonDUC,68250
NonDUC,68250
NonDUC,68250
NonDUC,68250
NonDUC,68250
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
DUC-3,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,68332
NonDUC,69153
DUC-2,69153
NonDUC,69153
NonDUC,69153
NonDUC,69153
NonDUC,70462
NonDUC,70462
NonDUC,70462
DUC-2,70462
DUC-2,70462
DUC-1,70462
DUC-1,70462
NonDUC,70462
NonDUC,70462
NonDUC,70462
NonDUC,70462
NonDUC,70462
NonDUC,70462
NonDUC,70462
NonDUC,70207
NonDUC,70207
NonDUC,70207
NonDUC,70207
NonDUC,70207
NonDUC,70207
NonDUC,70207
NonDUC,70207
NonDUC,70207
DUC-2,70207
DUC-2,70207
DUC-1,70207
NonDUC,70207
NonDUC,70207
NonDUC,70207
NonDUC,70207
NonDUC,70049
NonDUC,70049
DUC-3,70049
NonDUC,70049
NonDUC,68333
NonDUC,68333
NonDUC,68333
NonDUC,68333
NonDUC,68333
NonDUC,68333
NonDUC,68333
NonDUC,68333
DUC-3,68333
NonDUC,68333
DUC-2,68333
NonDUC,68333
NonDUC,68333
NonDUC,68333
NonDUC,74556
DU4-1,74556
DUC-2,74556
NonDUC,74556
NonDUC,74556
NonDUC,74575
NonDUC,74575
NonDUC,74575
DUC-2,74575
NonDUC,74575
NonDUC,74575
DUC-3,74575
NonDUC,74575
DUC-2,74575
NonDUC,74575
DUC-1,74575
NonDUC,74575
NonDUC,74575
NonDUC,74575
NonDUC,76910
NonDUC,76910
NonDUC,76910
NonDUC,76910
NonDUC,76910
NonDUC,76910
NonDUC,76910
DUC-2,76910
NonDUC,76910
NonDUC,76910
NonDUC,76910
NonDUC,76910
NonDUC,42145
NonDUC,42145
DUC-1,42145
NonDUC,42145
DUC-1,42145
NonDUC,42145
NonDUC,40831
DUC-1Plus,40831
DUC-2,40831
NonDUC,40831
NonDUC,75133
NonDUC,75133
NonDUC,75133
NonDUC,75133
NonDUC,75133
NonDUC,75133
NonDUC,75133
NonDUC,75133
NonDUC,75133
NonDUC,75133
DUC-1Plus,75133
DUC-1,75133
NonDUC,75133
NonDUC,75133
NonDUC,75133
NonDUC,70459
NonDUC,70459
NonDUC,70459
NonDUC,70459
NonDUC,70459
NonDUC,70459
NonDUC,70459
NonDUC,85126
NonDUC,85126
NonDUC,85126
DUC-3,85126
NonDUC,85126
NonDUC,85126
NonDUC,85172
NonDUC,85172
NonDUC,85172
NonDUC,85172
NonDUC,85172
NonDUC,85172
NonDUC,85172
NonDUC,85172
NonDUC,85172
NonDUC,85172
NonDUC,85172
NonDUC,85172
NonDUC,85172
DU4-1,74556
DUC-2,74556
NonDUC,98850
NonDUC,98850
NonDUC,98850
NonDUC,98850
DUC-3Plus,98850
NonDUC,94357
NonDUC,94357
NonDUC,94357
NonDUC,96704
NonDUC,96704
NonDUC,96704
NonDUC,96704
DUC-3,96704
NonDUC,96704
NonDUC,96704
NonDUC,96704
DUC-2,96704
NonDUC,96704
NonDUC,96704
NonDUC,96704
DUC-2Plus,96704
DUC-1,96704
DUC-1Plus,96704
DUC-2,96704
